match_id,account_id,hero_id,kills,deaths,assists,gold_per_min,xp_per_min,hero_damage,tower_damage,hero_healing,last_hits,denies,net_worth,lane,lane_role,is_roaming,player_slot
2977202370,136420024,82,9,8,4,527,762,,,,207,1,14362,,,,0
2977202370,189941239,8,1,7,6,393,348,,,,168,19,10861,,,,1
2977202370,149045443,86,2,7,5,260,265,,,,49,1,4040,,,,2
2977202370,140159807,101,3,7,8,215,240,,,,27,2,4159,,,,3
2977202370,120569619,96,5,6,6,371,420,,,,130,6,10465,,,,4
2977202370,106863163,106,14,2,15,589,689,,,,169,14,18397,,,,128
2977202370,93289364,98,6,2,17,563,713,,,,189,0,17226,,,,129
2977202370,186939694,62,2,11,20,303,222,,,,7,0,6919,,,,130
2977202370,137526096,79,1,4,20,275,316,,,,22,5,5770,,,,131
2977202370,135596324,93,12,2,11,616,700,,,,195,14,18811,,,,132
3268230772,185868854,87,1,3,9,180,207,,,,23,0,2857,,,,0
3268230772,165839292,41,1,2,7,327,348,,,,161,7,12084,,,,1
3268230772,137323908,9,6,6,5,471,442,,,,329,7,16575,,,,2
3268230772,135389630,80,3,1,3,519,425,,,,308,7,20842,,,,3
3268230772,218500899,86,3,2,8,274,272,,,,90,1,8835,,,,4
3268230772,133705802,88,2,4,6,364,408,,,,92,6,13794,,,,128
3268230772,103275898,15,2,2,8,586,616,,,,361,36,22079,,,,129
3268230772,216067541,25,8,3,5,618,593,,,,329,6,23500,,,,130
3268230772,176996872,30,1,4,7,242,259,,,,32,10,6248,,,,131
3268230772,119594755,108,0,2,9,447,469,,,,224,11,17093,,,,132
3340894274,108025309,37,2,6,4,218,281,8209.0,203.0,348.0,37,4,3632,3.0,3.0,False,0
3340894274,229284594,82,5,4,1,360,541,9082.0,0.0,0.0,121,2,6517,2.0,2.0,False,1
3340894274,114885363,23,1,5,5,179,217,5332.0,0.0,0.0,17,2,2672,2.0,2.0,False,2
3340894274,359463868,59,1,8,2,238,249,7551.0,83.0,0.0,64,18,4197,1.0,1.0,False,3
3340894274,158889182,83,3,6,4,189,223,4238.0,0.0,122.0,12,1,2432,1.0,1.0,False,4
3340894274,196195938,27,2,3,18,369,380,7992.0,2651.0,0.0,37,2,6521,3.0,1.0,True,128
3340894274,137101797,14,7,4,8,320,298,6069.0,30.0,0.0,7,1,5984,3.0,1.0,True,129
3340894274,110854857,6,7,2,11,606,434,13619.0,9373.0,0.0,142,16,13324,3.0,1.0,False,130
3340894274,329043293,74,8,2,3,632,631,11794.0,3546.0,0.0,152,26,13571,2.0,2.0,False,131
3340894274,371174689,57,5,2,10,419,455,8288.0,412.0,3147.0,46,2,9189,1.0,3.0,False,132
5217923303,1036529642,40,2,10,5,278,325,12004.0,0.0,0.0,95,2,6716,2.0,2.0,,0
5217923303,129869827,25,8,7,1,470,645,15791.0,2339.0,250.0,197,17,11399,2.0,2.0,,1
5217923303,136266416,87,2,10,8,285,373,8449.0,21.0,0.0,70,3,6480,1.0,1.0,,2
5217923303,158659942,13,6,8,6,412,477,13566.0,332.0,0.0,158,7,10559,3.0,3.0,,3
5217923303,142655954,12,3,6,1,453,506,11452.0,12.0,0.0,222,4,11695,1.0,1.0,,4
5217923303,244058707,106,8,8,16,488,720,19856.0,6392.0,0.0,158,2,13100,3.0,1.0,,128
5217923303,117106216,86,10,4,17,483,752,21314.0,3193.0,0.0,77,13,13227,1.0,3.0,,129
5217923303,908221052,90,3,1,14,348,526,5035.0,131.0,705.0,59,3,8892,3.0,1.0,,130
5217923303,377420354,102,6,5,10,444,625,10526.0,6898.0,720.0,144,7,12654,1.0,3.0,,131
5217923303,880093059,22,13,5,19,647,975,38532.0,1583.0,125.0,236,10,18017,2.0,2.0,,132
5407618907,137193239,109,0,5,5,523,425,4605.0,1368.0,0.0,295,11,14226,1.0,1.0,,0
5407618907,139937922,126,1,9,9,270,348,8899.0,68.0,0.0,90,9,6548,3.0,3.0,,1
5407618907,138543123,9,1,5,7,228,265,8144.0,66.0,0.0,51,2,4727,3.0,3.0,,2
5407618907,107803494,98,6,8,1,394,450,15297.0,980.0,0.0,147,3,9051,2.0,2.0,,3
5407618907,143693439,79,4,11,5,196,193,5269.0,0.0,400.0,25,1,1959,1.0,1.0,,4
5407618907,108382060,70,9,0,15,623,805,20711.0,1675.0,250.0,253,3,18303,2.0,2.0,,128
5407618907,173978074,23,9,3,22,609,712,18013.0,3080.0,55.0,242,16,17724,3.0,1.0,,129
5407618907,118134220,92,11,1,16,497,615,15717.0,3145.0,0.0,161,19,14736,1.0,3.0,,130
5407618907,157475523,120,6,2,25,338,528,13336.0,230.0,1139.0,81,1,9214,1.0,3.0,,131
5407618907,111114687,64,3,7,17,295,337,9434.0,1813.0,381.0,47,3,6007,1.0,3.0,,132
5407702097,171801415,119,3,9,13,230,378,17947.0,0.0,400.0,63,4,6917,3.0,3.0,,0
5407702097,118419316,120,4,11,13,448,615,25128.0,674.0,250.0,303,3,15922,2.0,2.0,,1
5407702097,369991961,43,4,15,11,251,386,15134.0,55.0,400.0,95,3,8163,1.0,1.0,,2
5407702097,91932652,62,1,9,14,234,357,9504.0,227.0,556.0,65,7,7063,3.0,3.0,,3
5407702097,346392468,10,12,6,5,613,715,44848.0,2099.0,0.0,467,25,23599,1.0,1.0,,4
5407702097,140297552,22,15,4,26,643,751,97155.0,418.0,350.0,387,17,28842,2.0,2.0,,128
5407702097,116876282,100,4,9,34,249,454,16778.0,153.0,1875.0,27,0,9366,1.0,3.0,,129
5407702097,114500675,121,5,4,29,319,473,8488.0,374.0,752.0,64,5,9866,3.0,1.0,,130
5407702097,131769991,95,14,4,10,549,617,21594.0,15401.0,0.0,316,12,30180,3.0,1.0,,131
5407702097,90180366,63,12,3,26,474,668,29622.0,2132.0,0.0,231,9,21468,1.0,3.0,,132
5417731095,86722079,90,2,13,19,301,449,7367.0,542.0,0.0,55,5,7492,1.0,1.0,,0
5417731095,928794456,106,12,7,20,493,713,49512.0,1344.0,0.0,221,11,17090,2.0,2.0,,1
5417731095,92241448,88,6,11,17,290,480,14446.0,15.0,0.0,20,0,8916,3.0,3.0,,2
5417731095,86316844,16,6,6,21,463,709,29067.0,488.0,0.0,233,2,16384,3.0,3.0,,3
5417731095,160777268,95,18,4,15,686,742,49427.0,22577.0,0.0,348,20,27277,1.0,1.0,,4
5417731095,98011900,121,3,8,22,288,484,18407.0,0.0,276.0,107,2,10143,3.0,1.0,,128
5417731095,106667692,74,12,9,10,442,618,30798.0,1398.0,0.0,286,18,15816,2.0,2.0,,129
5417731095,86230935,128,5,13,19,246,460,21015.0,0.0,400.0,47,0,5190,1.0,3.0,,130
5417731095,67882382,32,8,9,18,447,654,26115.0,0.0,0.0,275,12,15321,3.0,1.0,,131
5417731095,111750003,104,13,5,15,414,689,31432.0,627.0,3668.0,184,8,15063,1.0,3.0,,132
5475087738,925422244,63,4,5,1,499,589,13132.0,0.0,0.0,173,6,10168,1.0,1.0,,0
5475087738,258481195,83,1,8,3,142,251,3838.0,0.0,495.0,11,0,3010,1.0,1.0,,1
5475087738,430054074,110,4,9,1,188,288,12509.0,41.0,0.0,23,0,3558,3.0,3.0,,2
5475087738,877281328,19,0,4,1,369,466,7074.0,85.0,0.0,154,2,8076,2.0,2.0,,3
5475087738,157301774,28,0,8,4,293,376,3359.0,58.0,123.0,93,2,5763,3.0,3.0,,4
5475087738,140571204,8,4,1,11,540,535,9796.0,5256.0,4994.0,156,1,11551,3.0,1.0,,128
5475087738,369942571,29,9,3,16,502,592,11379.0,1936.0,602.0,110,3,10503,1.0,3.0,,129
5475087738,1069193406,111,5,3,17,287,428,11085.0,527.0,4473.0,10,0,6168,3.0,1.0,,130
5475087738,439548339,52,5,1,12,595,689,18409.0,8391.0,0.0,202,1,12780,2.0,2.0,,131
5475087738,410678150,86,11,1,11,412,514,11756.0,314.0,30.0,42,1,8568,1.0,3.0,,132
5504066079,345803031,120,4,5,23,385,444,12665.0,754.0,1051.0,44,0,7968,3.0,3.0,True,0
5504066079,121833213,50,6,0,21,608,553,10895.0,6836.0,10289.0,149,12,14101,3.0,3.0,,1
5504066079,148526973,90,2,4,12,350,368,3106.0,376.0,0.0,34,1,7166,1.0,1.0,True,2
5504066079,324277900,62,10,3,22,687,569,22671.0,3184.0,0.0,52,8,15165,2.0,2.0,,3
5504066079,100594231,106,14,2,17,558,600,34734.0,3117.0,1042.0,78,11,12728,1.0,1.0,,4
5504066079,119898344,70,1,7,3,449,491,9111.0,0.0,0.0,181,9,9337,3.0,1.0,,128
5504066079,100598959,100,2,7,6,166,237,6242.0,0.0,5.0,3,1,3097,2.0,2.0,True,129
5504066079,108831569,21,4,6,4,307,358,11562.0,0.0,0.0,75,7,5066,1.0,3.0,,130
5504066079,122867857,19,3,6,2,312,377,12388.0,81.0,125.0,90,3,6348,2.0,2.0,,131
5504066079,103045129,112,2,10,6,215,241,6647.0,0.0,0.0,16,1,3217,3.0,1.0,True,132
5504177297,147267417,39,5,6,9,404,476,22508.0,1227.0,0.0,171,22,10602,2.0,2.0,,0
5504177297,134357466,48,2,9,10,438,447,14313.0,1903.0,0.0,217,21,12443,1.0,1.0,,1
5504177297,104504914,100,5,12,9,319,455,14861.0,571.0,0.0,84,14,6995,3.0,3.0,,2
5504177297,164197101,63,5,9,6,343,479,16576.0,358.0,400.0,104,2,8508,3.0,3.0,,3
5504177297,104464707,111,5,11,16,229,284,7292.0,128.0,1899.0,12,0,3727,1.0,1.0,,4
5504177297,196931374,10,19,2,16,806,901,37140.0,15484.0,0.0,298,14,23344,3.0,1.0,,128
5504177297,228517469,30,6,7,24,341,465,11936.0,78.0,6480.0,33,0,6950,3.0,1.0,,129
5504177297,206144913,7,10,3,29,469,788,21417.0,1013.0,0.0,79,7,12696,1.0,3.0,,130
5504177297,126598297,9,6,7,20,466,544,10749.0,1609.0,0.0,127,8,13130,1.0,3.0,,131
5504177297,372105535,65,6,4,24,565,740,22015.0,251.0,0.0,196,3,12642,2.0,2.0,,132
5505269044,137496334,9,2,7,3,285,328,6580.0,0.0,0.0,81,8,6155,1.0,1.0,True,0
5505269044,136642777,98,2,7,4,339,431,16887.0,198.0,0.0,114,16,7590,3.0,3.0,,1
5505269044,208287519,23,1,6,5,355,417,5957.0,110.0,0.0,137,2,7848,2.0,2.0,,2
5505269044,180286184,88,1,3,4,212,352,6813.0,0.0,296.0,39,0,5045,3.0,3.0,True,3
5505269044,182325064,95,4,3,2,554,653,12284.0,470.0,0.0,217,1,13144,1.0,1.0,,4
5505269044,423215277,104,5,3,9,486,456,7520.0,1483.0,1410.0,140,8,11422,1.0,3.0,,128
5505269044,253897281,39,9,0,11,530,710,19310.0,684.0,0.0,181,20,8793,2.0,2.0,,129
5505269044,356343152,10,5,0,8,563,600,10228.0,2903.0,0.0,207,26,13995,3.0,1.0,,130
5505269044,296514230,86,3,1,14,368,538,10233.0,0.0,0.0,54,0,8873,1.0,3.0,,131
5505269044,208163435,51,4,6,16,305,386,11513.0,35.0,0.0,15,13,5093,3.0,1.0,True,132
5513057437,108810964,110,6,7,29,413,641,25188.0,540.0,6073.0,131,4,14616,3.0,3.0,,0
5513057437,112426916,25,17,2,12,748,857,48056.0,6278.0,125.0,497,14,40111,2.0,2.0,,1
5513057437,158897083,1,15,3,11,796,878,45773.0,6017.0,0.0,559,13,33017,1.0,1.0,,2
5513057437,47508363,3,1,12,21,303,471,12005.0,322.0,224.0,18,8,8576,1.0,1.0,,3
5513057437,29517189,96,5,6,24,443,607,25406.0,4365.0,2531.0,246,10,19034,3.0,3.0,,4
5513057437,165390194,42,7,8,12,521,661,23017.0,2826.0,1609.0,378,6,14087,3.0,1.0,,128
5513057437,372037311,21,8,8,7,487,602,20448.0,107.0,0.0,329,14,18767,2.0,2.0,,129
5513057437,124604563,86,5,7,16,364,618,22292.0,103.0,1966.0,182,1,10713,1.0,3.0,,130
5513057437,406799277,111,1,11,11,227,361,7347.0,9.0,5237.0,44,1,6172,3.0,1.0,,131
5513057437,316768320,120,8,10,15,499,682,33443.0,237.0,4491.0,287,3,17046,1.0,3.0,,132
5545270724,1070023459,120,1,2,2,320,414,3091.0,130.0,400.0,79,0,5560,3.0,3.0,,0
5545270724,410566941,40,3,5,2,461,474,12153.0,732.0,0.0,122,0,7943,2.0,2.0,,1
5545270724,1023767244,85,4,9,4,203,213,7002.0,0.0,377.0,7,0,3150,3.0,3.0,,2
5545270724,138100430,37,3,5,3,246,317,4215.0,0.0,680.0,30,0,4523,1.0,1.0,,3
5545270724,416242099,93,2,6,4,344,490,3951.0,22.0,0.0,80,2,5818,1.0,1.0,,4
5545270724,1033881975,66,0,5,7,216,178,2401.0,0.0,726.0,2,1,3700,3.0,1.0,,128
5545270724,969706575,46,11,3,3,709,889,13637.0,4354.0,0.0,142,3,12101,2.0,2.0,,129
5545270724,145399790,103,4,3,6,349,428,8405.0,542.0,0.0,41,0,6443,1.0,3.0,,130
5545270724,240207946,53,7,3,9,634,612,14816.0,8014.0,405.0,127,16,10594,1.0,3.0,,131
5545270724,136427601,73,4,1,2,946,710,7642.0,1882.0,0.0,195,1,16688,3.0,1.0,,132
5571742384,81481903,111,9,13,14,327,412,9402.0,147.0,4311.0,53,4,10386,1.0,1.0,,0
5571742384,189993240,126,5,7,21,444,673,32644.0,912.0,0.0,214,8,19309,2.0,2.0,,1
5571742384,149068953,39,4,9,26,415,677,23527.0,472.0,4014.0,173,4,17008,3.0,3.0,True,2
5571742384,1006144185,10,20,4,13,822,824,58432.0,22605.0,0.0,460,24,32670,1.0,1.0,,3
5571742384,113152484,51,7,10,24,472,609,29376.0,320.0,0.0,213,30,20046,3.0,3.0,,4
5571742384,124566285,13,12,7,17,493,696,38751.0,0.0,0.0,271,15,19125,2.0,2.0,,128
5571742384,361452834,100,8,10,18,284,503,19283.0,210.0,0.0,62,0,8431,1.0,3.0,,129
5571742384,307721199,18,12,7,13,772,886,33965.0,5001.0,0.0,515,7,26692,3.0,1.0,,130
5571742384,255223353,40,5,9,24,442,577,50088.0,305.0,125.0,264,11,16676,1.0,3.0,,131
5571742384,317849786,31,6,13,23,265,364,17575.0,216.0,0.0,23,0,7852,3.0,1.0,,132
5609506169,106581635,86,3,14,13,224,362,15045.0,188.0,20.0,56,2,5683,3.0,3.0,,0
5609506169,34777977,108,3,6,10,385,549,20575.0,543.0,2565.0,209,5,12630,3.0,3.0,,1
5609506169,291283548,7,5,9,9,341,419,15660.0,167.0,50.0,173,10,9153,2.0,2.0,,2
5609506169,199347376,10,6,6,4,444,519,21255.0,385.0,0.0,253,9,13107,1.0,1.0,,3
5609506169,157028828,121,5,8,15,269,387,14920.0,0.0,732.0,31,3,6391,1.0,1.0,,4
5609506169,202933227,21,4,6,20,426,606,16096.0,1622.0,610.0,148,6,12832,1.0,3.0,,128
5609506169,474527300,53,8,1,26,661,729,25706.0,8251.0,0.0,347,10,22949,3.0,1.0,,129
5609506169,76808626,19,12,8,15,441,574,24480.0,2121.0,0.0,110,8,14382,1.0,3.0,,130
5609506169,78891550,83,6,4,25,402,583,13778.0,963.0,5258.0,87,7,11781,3.0,1.0,,131
5609506169,116391559,114,11,3,11,654,816,30084.0,7425.0,0.0,315,15,23223,2.0,2.0,,132
5622795922,192914280,4,1,8,4,324,339,9935.0,0.0,0.0,125,4,7264,3.0,3.0,,0
5622795922,218367241,126,4,4,3,451,513,16034.0,918.0,10.0,195,14,11188,2.0,2.0,,1
5622795922,323792491,121,0,3,7,177,196,5509.0,0.0,400.0,21,2,3137,1.0,1.0,,2
5622795922,156029808,107,1,10,6,164,246,7489.0,0.0,525.0,18,3,3490,2.0,2.0,True,3
5622795922,389022189,81,3,8,4,446,432,9057.0,1116.0,0.0,162,14,11122,1.0,1.0,,4
5622795922,237325411,100,4,1,16,300,426,8339.0,29.0,400.0,18,0,6693,2.0,2.0,True,128
5622795922,301750126,128,6,2,20,454,519,19044.0,541.0,125.0,123,6,11778,2.0,2.0,,129
5622795922,156328257,16,8,3,13,459,539,17223.0,629.0,859.0,108,3,12596,1.0,3.0,,130
5622795922,389033587,94,12,0,14,792,758,28319.0,15506.0,0.0,301,7,21861,3.0,1.0,,131
5622795922,143278997,66,3,4,24,295,432,6635.0,2645.0,5401.0,55,7,7551,1.0,3.0,True,132
5633147763,195001460,97,6,3,10,538,754,17583.0,859.0,0.0,348,4,17727,2.0,2.0,,0
5633147763,66620961,103,1,10,15,208,379,14098.0,0.0,400.0,31,3,4162,1.0,1.0,,1
5633147763,145065875,21,5,6,17,256,430,13141.0,0.0,0.0,42,8,7115,3.0,3.0,,2
5633147763,363871826,47,8,10,13,357,488,24667.0,363.0,0.0,134,9,10932,3.0,3.0,,3
5633147763,90365989,6,10,5,10,521,630,22538.0,1960.0,0.0,298,6,18692,1.0,1.0,,4
5633147763,116934015,67,8,6,14,664,745,36796.0,6257.0,0.0,331,5,22057,3.0,1.0,,128
5633147763,130801103,20,0,13,22,288,389,7748.0,77.0,855.0,24,1,6881,3.0,1.0,,129
5633147763,99155835,25,14,2,11,752,749,30523.0,18348.0,0.0,383,17,28433,2.0,2.0,,130
5633147763,106809101,86,4,5,16,357,507,14058.0,671.0,0.0,101,5,11658,1.0,3.0,,131
5633147763,86723143,126,8,5,13,503,668,19250.0,2710.0,425.0,200,10,16453,1.0,3.0,,132
5694647508,85312703,86,5,4,16,352,491,14672.0,237.0,0.0,50,1,8855,3.0,3.0,,0
5694647508,118626850,44,15,0,9,848,916,28412.0,13979.0,0.0,374,5,26591,1.0,1.0,,1
5694647508,412758827,106,10,4,11,488,708,29371.0,2950.0,0.0,141,11,15038,2.0,2.0,,2
5694647508,67428263,96,1,5,22,365,489,11989.0,1584.0,0.0,108,15,10442,3.0,3.0,,3
5694647508,109798771,85,1,6,19,275,353,5005.0,0.0,4291.0,31,3,6801,1.0,1.0,,4
5694647508,86818655,84,1,8,8,243,246,5069.0,0.0,784.0,17,3,4963,3.0,1.0,,128
5694647508,916319073,28,1,9,11,300,310,6852.0,384.0,0.0,103,13,7421,1.0,3.0,,129
5694647508,97597779,25,2,8,4,239,316,9919.0,0.0,0.0,56,2,6013,1.0,3.0,,130
5694647508,203851397,18,9,4,5,615,706,21555.0,698.0,0.0,314,8,17785,3.0,1.0,,131
5694647508,88611330,126,6,3,9,447,575,16299.0,781.0,0.0,178,6,12753,2.0,2.0,,132
5703120180,385243792,58,3,8,12,278,318,13877.0,247.0,1324.0,91,2,6599,1.0,1.0,,0
5703120180,1027442762,126,3,5,15,450,673,18913.0,1975.0,0.0,287,11,15493,2.0,2.0,,1
5703120180,184224997,86,3,4,9,313,475,15487.0,231.0,0.0,124,3,10516,3.0,3.0,True,2
5703120180,110142194,41,6,8,9,523,612,19185.0,3890.0,0.0,314,10,19102,1.0,1.0,,3
5703120180,135492698,129,7,9,5,442,543,21580.0,769.0,0.0,220,21,14431,3.0,3.0,,4
5703120180,137496334,84,3,7,19,327,541,10187.0,62.0,905.0,47,4,9719,3.0,1.0,True,128
5703120180,169672157,97,4,5,23,468,641,14059.0,398.0,747.0,219,8,17664,1.0,3.0,,129
5703120180,101968048,39,11,1,17,661,738,28856.0,7243.0,0.0,364,18,28201,2.0,2.0,,130
5703120180,101663906,111,4,6,22,334,617,12846.0,578.0,7498.0,66,0,12811,1.0,3.0,,131
5703120180,163497368,44,10,3,13,773,741,35823.0,17510.0,0.0,465,7,36430,3.0,1.0,,132
5711591682,1042041719,6,8,5,6,520,599,14360.0,2328.0,0.0,130,3,11769,1.0,1.0,,0
5711591682,1042262085,20,3,5,4,474,438,7924.0,2391.0,0.0,167,6,10947,3.0,3.0,,1
5711591682,1092913725,84,4,11,11,251,328,7289.0,0.0,240.0,6,5,4732,1.0,1.0,,2
5711591682,998096014,10,5,4,5,548,630,10566.0,4853.0,0.0,191,8,12206,2.0,2.0,,3
5711591682,1092768918,7,2,11,8,254,327,11438.0,45.0,368.0,24,1,4830,3.0,3.0,,4
5711591682,877281328,52,8,2,13,669,872,25964.0,8668.0,0.0,242,8,16105,2.0,2.0,,128
5711591682,157301774,2,16,3,11,599,733,16658.0,1170.0,0.0,142,1,14113,1.0,3.0,,129
5711591682,258481195,3,6,6,7,313,412,6034.0,214.0,0.0,31,1,6074,3.0,1.0,True,130
5711591682,430054074,100,3,6,17,258,352,5981.0,163.0,0.0,28,0,6288,1.0,3.0,,131
5711591682,925422244,41,3,6,13,435,585,7844.0,2217.0,0.0,129,4,10145,3.0,1.0,,132
5724649139,439548339,18,0,0,1,686,901,2459.0,11499.0,0.0,312,1,15868,1.0,1.0,,0
5724649139,1069193406,30,1,8,3,227,188,8429.0,0.0,0.0,27,2,3961,1.0,1.0,,1
5724649139,410678150,20,0,11,5,206,240,6290.0,0.0,0.0,24,1,3815,3.0,3.0,,2
5724649139,369942571,23,2,6,1,443,571,11436.0,0.0,0.0,154,1,8935,2.0,2.0,,3
5724649139,140571204,104,4,4,2,479,551,16925.0,575.0,1080.0,175,1,9331,3.0,3.0,,4
5724649139,213977905,27,3,1,10,308,356,6218.0,3444.0,0.0,33,0,7432,1.0,3.0,,128
5724649139,1011080901,38,5,1,9,522,552,10126.0,9577.0,0.0,120,1,12012,1.0,3.0,,129
5724649139,250781792,52,11,2,8,618,666,19596.0,3724.0,0.0,180,1,13943,2.0,2.0,,130
5724649139,854385793,53,9,3,12,618,592,13742.0,6714.0,696.0,154,1,13872,3.0,1.0,,131
5724649139,130928143,66,1,1,19,375,501,5067.0,2606.0,9540.0,70,0,8622,5.0,4.0,True,132
5754264597,139031324,60,12,0,9,517,633,26705.0,2707.0,0.0,248,14,23843,3.0,3.0,,0
5754264597,315272623,92,5,2,14,531,646,23641.0,10446.0,7144.0,308,11,30743,2.0,2.0,,1
5754264597,452376367,94,4,1,8,854,726,34531.0,15368.0,0.0,670,22,39413,1.0,1.0,,2
5754264597,215671947,111,2,4,9,267,331,6084.0,0.0,3135.0,32,2,9546,1.0,1.0,,3
5754264597,114645455,48,3,5,12,364,477,13348.0,192.0,384.0,175,3,16188,3.0,3.0,,4
5754264597,119576842,103,1,6,6,245,282,8555.0,0.0,0.0,56,1,9410,1.0,3.0,,128
5754264597,330191088,106,4,4,4,436,513,21114.0,153.0,0.0,300,6,18628,2.0,2.0,,129
5754264597,142139318,77,5,1,2,589,572,19007.0,11323.0,0.0,454,11,26709,3.0,1.0,,130
5754264597,91443418,64,1,8,6,270,278,11838.0,0.0,0.0,88,2,7325,3.0,1.0,True,131
5754264597,89871557,65,1,7,5,415,471,11523.0,0.0,0.0,280,2,16084,1.0,3.0,,132
5781022024,104185879,90,0,1,12,294,339,3537.0,0.0,400.0,32,2,4918,1.0,1.0,,0
5781022024,63703276,88,3,1,5,326,367,4663.0,2224.0,0.0,48,1,5663,3.0,3.0,True,1
5781022024,90324740,28,4,0,9,482,521,9034.0,1263.0,0.0,109,20,9324,3.0,3.0,,2
5781022024,92477990,126,6,0,11,469,534,13492.0,65.0,125.0,101,22,9435,2.0,2.0,,3
5781022024,165671428,70,21,1,2,789,834,21215.0,1644.0,0.0,169,11,15449,1.0,1.0,,4
5781022024,288912268,119,1,7,1,164,221,4660.0,0.0,0.0,23,0,2572,1.0,3.0,,128
5781022024,384612769,1,0,6,0,270,288,258.0,0.0,0.0,86,5,4882,3.0,1.0,,129
5781022024,135574420,104,2,8,1,247,220,5746.0,0.0,440.0,52,3,3853,1.0,3.0,,130
5781022024,113921133,22,0,2,1,274,314,8997.0,0.0,0.0,84,5,5397,2.0,2.0,,131
5781022024,120504929,111,0,11,5,120,124,4647.0,0.0,275.0,6,1,1374,3.0,1.0,,132
5800917529,152455523,12,2,0,5,530,572,8021.0,662.0,0.0,179,13,11404,1.0,1.0,,0
5800917529,91064780,27,0,5,6,240,263,4608.0,855.0,0.0,27,3,3684,3.0,3.0,,1
5800917529,250114507,65,11,1,4,535,624,13053.0,67.0,0.0,144,7,11567,2.0,2.0,,2
5800917529,159020918,66,1,1,10,287,329,3736.0,586.0,2585.0,59,7,5719,1.0,1.0,,3
5800917529,89550641,38,4,3,7,425,448,11624.0,1420.0,300.0,102,9,8475,3.0,3.0,,4
5800917529,134556694,112,2,6,4,229,265,6450.0,125.0,823.0,29,0,2845,3.0,1.0,,128
5800917529,114619230,4,3,3,4,393,382,7028.0,195.0,0.0,119,13,7854,3.0,1.0,,129
5800917529,876110702,52,3,2,1,465,521,5133.0,977.0,0.0,174,0,9941,2.0,2.0,,130
5800917529,111030315,88,0,6,3,182,204,3350.0,0.0,30.0,19,0,3491,2.0,2.0,True,131
5800917529,203351055,76,2,1,0,358,424,6912.0,1097.0,0.0,105,13,7431,1.0,3.0,,132
5841750029,155332459,126,3,2,17,323,479,10672.0,712.0,236.0,30,1,7159,2.0,2.0,,0
5841750029,352623024,29,6,2,14,486,646,11884.0,2091.0,0.0,136,5,11801,3.0,3.0,,1
5841750029,352545711,47,7,0,13,597,621,17057.0,5198.0,0.0,203,17,14374,2.0,2.0,,2
5841750029,94004717,42,9,0,8,775,776,20713.0,7072.0,0.0,301,13,19470,1.0,1.0,,3
5841750029,117089283,111,5,3,10,284,357,6754.0,575.0,7863.0,9,2,5465,1.0,1.0,True,4
5841750029,177953305,90,1,10,3,254,223,7134.0,16.0,713.0,74,1,4020,2.0,2.0,,128
5841750029,123953528,17,1,6,3,336,347,7550.0,0.0,0.0,156,2,6823,2.0,2.0,,129
5841750029,86850560,9,1,3,4,263,345,9369.0,163.0,0.0,96,3,5060,2.0,2.0,,130
5841750029,173971950,8,3,3,0,526,639,11717.0,2371.0,521.0,249,7,12425,3.0,1.0,,131
5841750029,878212255,129,1,9,2,277,301,6247.0,0.0,0.0,120,4,6113,1.0,3.0,,132
5893395760,138857296,129,6,3,16,481,590,15810.0,2535.0,125.0,192,7,16502,3.0,3.0,,0
5893395760,168028715,63,11,2,12,724,805,21571.0,13725.0,0.0,367,9,24941,1.0,1.0,,1
5893395760,202217968,106,7,1,19,684,864,33460.0,3373.0,0.0,343,9,22662,2.0,2.0,,2
5893395760,139876032,110,8,2,17,397,618,14952.0,827.0,9564.0,107,3,13013,3.0,3.0,,3
5893395760,101259972,26,2,8,11,275,358,7267.0,683.0,15.0,28,3,6949,1.0,1.0,True,4
5893395760,452376367,91,1,4,4,471,609,15140.0,439.0,843.0,307,1,16225,3.0,1.0,,128
